Month,Days,YEAR,Date,Min_Temperature,Temperature,Max_Temperature,Humidity,Precipitation,Surface_Pressure,Wind_speed
May,1,2023,01-05-2023,16.69,20.71,37.4,11.05,0.04,93.45,2.87
May,2,2023,02-05-2023,17.34,19.51,36.84,11.23,0,93.52,3.23
May,3,2023,03-05-2023,13.88,21.78,35.66,13.31,0.36,93.65,2.59
May,4,2023,04-05-2023,11.23,21.81,33.04,13.06,0.3,93.61,2.3
May,5,2023,05-05-2023,12.65,21.56,34.21,12.45,0.21,93.52,2.84
May,6,2023,06-05-2023,15.82,21.02,36.84,11.96,0.01,93.5,3.08
May,7,2023,07-05-2023,11.56,22.65,34.21,14.77,3.76,93.54,2.62
May,8,2023,08-05-2023,9.02,22.66,31.69,17.21,10.78,93.45,1.66
May,9,2023,09-05-2023,9.76,23.52,33.28,17.94,6.5,93.48,2.2
May,10,2023,10-05-2023,8.7,23.66,32.36,17.94,8.85,93.47,1.56
May,11,2023,11-05-2023,10.84,22.88,33.72,16.78,0.89,93.55,2.53
May,12,2023,12-05-2023,12.88,23.16,36.04,16.48,0.87,93.59,2.44
May,13,2023,13-05-2023,10.29,23.21,33.5,16.17,0.65,93.65,2.64
May,14,2023,14-05-2023,10.34,22.82,33.16,15.81,0.4,93.6,1.84
May,15,2023,15-05-2023,12.66,22.39,35.05,15.14,0.34,93.66,3.29
May,16,2023,16-05-2023,15.97,20.21,36.18,12.94,0.06,93.74,2.8
May,17,2023,17-05-2023,17.12,20.95,38.08,14.28,0.3,93.72,3.46
May,18,2023,18-05-2023,15.79,22.4,38.19,14.22,0.14,93.82,2.5
May,19,2023,19-05-2023,16.77,21.68,38.44,14.22,0.07,93.68,3.67
May,20,2023,20-05-2023,13.27,23.6,36.88,15.44,0.78,93.64,2.01
May,21,2023,21-05-2023,14.27,23.47,37.74,15.38,1.13,93.7,2.3
May,22,2023,22-05-2023,13.05,23.48,36.54,15.99,2.9,93.75,1.63
May,23,2023,23-05-2023,13.75,23.67,37.42,15.26,2.73,93.8,1.92
May,24,2023,24-05-2023,11.44,22.94,34.37,14.83,0.35,93.8,3.08
May,25,2023,25-05-2023,13.82,22.33,36.14,14.71,0.69,93.82,3.05
May,26,2023,26-05-2023,12.95,22.08,35.03,14.95,0.89,93.87,2.02
May,27,2023,27-05-2023,13.5,22.06,35.57,14.47,0.42,93.75,2.88
May,28,2023,28-05-2023,15.04,22.01,37.04,14.77,0.78,93.63,2.06
May,29,2023,29-05-2023,15.98,22.73,38.7,14.89,1.19,93.56,2.8
May,30,2023,30-05-2023,8.93,24.47,33.4,16.11,2.2,93.64,1.05
May,31,2023,31-05-2023,11,23.15,34.15,15.99,2.68,93.58,3.14
June,32,2023,01-06-2023,10.53,23.32,33.85,16.85,3.3,93.6,2.73
June,33,2023,02-06-2023,13.17,22.87,36.05,14.83,0.62,93.61,1.8
June,34,2023,03-06-2023,14.79,22.23,37.01,15.14,0.68,93.58,3.36
June,35,2023,04-06-2023,11.16,23.46,34.61,16.6,1.64,93.59,2.47
June,36,2023,05-06-2023,10.55,23.7,34.26,16.36,1.58,93.54,2.32
June,37,2023,06-06-2023,13.63,22.63,36.26,15.81,1.38,93.52,2.41
June,38,2023,07-06-2023,12.02,23.09,35.11,17.09,8.26,93.49,2.59
June,39,2023,08-06-2023,7.01,23.27,30.28,17.82,15.38,93.54,2.55
June,40,2023,09-06-2023,9.04,23.23,32.27,17.7,4.12,93.43,2.94
June,41,2023,10-06-2023,7.34,22.33,29.68,17.46,11.8,93.38,3.88
June,42,2023,11-06-2023,9.43,21.59,31.02,16.66,4.42,93.32,3.98
June,43,2023,12-06-2023,8.92,22.67,31.59,17.15,6.43,93.33,3.8
June,44,2023,13-06-2023,8.15,22.9,31.05,17.33,5.1,93.43,4.18
June,45,2023,14-06-2023,7.57,22.85,30.41,17.76,8.18,93.54,4.34
June,46,2023,15-06-2023,8.12,22.86,30.98,17.52,5.6,93.6,3.45
June,47,2023,16-06-2023,8.74,22.49,31.23,17.33,4.52,93.55,3.8
June,48,2023,17-06-2023,8.1,22.75,30.85,17.7,7.77,93.53,4.55
June,49,2023,18-06-2023,9.21,21.96,31.17,17.52,8.22,93.53,3.42
June,50,2023,19-06-2023,8.77,22.57,31.34,17.58,3.73,93.44,2.8
June,51,2023,20-06-2023,9.98,22.4,32.38,17.46,3.31,93.37,2.92
June,52,2023,21-06-2023,6.42,23.09,29.51,18.13,13.57,93.39,3.5
June,53,2023,22-06-2023,5.42,22.51,27.93,17.76,18.06,93.45,2.58
June,54,2023,23-06-2023,7.1,22.18,29.28,17.4,9.23,93.44,3.28
June,55,2023,24-06-2023,6.5,21.72,28.22,17.4,5.62,93.4,3.94
June,56,2023,25-06-2023,7.28,21.24,28.52,16.97,9.95,93.38,3.8
June,57,2023,26-06-2023,3.98,22.05,26.04,18.13,42.38,93.41,3.72
June,58,2023,27-06-2023,4.98,21.11,26.08,16.85,21.79,93.48,3.74
June,59,2023,28-06-2023,4.49,21.42,25.92,16.48,14.81,93.6,3.49
June,60,2023,29-06-2023,5.87,21.23,27.09,17.09,39.52,93.57,4.25
June,61,2023,30-06-2023,4.68,21.19,25.87,17.15,37.32,93.58,2.84
July,62,2023,01-07-2023,3.7,22.3,26,18.31,22.6,93.61,3.34
July,63,2023,02-07-2023,4.26,22.64,26.89,18.55,26.2,93.51,2.95
July,64,2023,03-07-2023,2.07,23.61,25.68,19.47,50.62,93.32,2.66
July,65,2023,04-07-2023,4.02,21.55,25.56,19.53,65.88,93.09,2.38
July,66,2023,05-07-2023,4.38,21.13,25.51,18.01,75.06,93.02,2.68
July,67,2023,06-07-2023,3.22,21.32,24.54,17.64,45.35,93.22,3.21
July,68,2023,07-07-2023,4.17,21.58,25.75,18.37,44.69,93.37,4.47
July,69,2023,08-07-2023,4.59,21.07,25.66,17.52,28.99,93.56,3.82
July,70,2023,09-07-2023,3.67,22.17,25.84,18.01,16.08,93.54,3.15
July,71,2023,10-07-2023,4.73,21.98,26.71,18.07,12.63,93.53,3.62
July,72,2023,11-07-2023,4.15,21.65,25.8,17.76,10.33,93.54,3.43
July,73,2023,12-07-2023,3.98,21.98,25.96,18.01,14.73,93.49,2.93
July,74,2023,13-07-2023,3.67,22.08,25.75,17.64,19.55,93.53,1.93
July,75,2023,14-07-2023,5.12,20.5,25.62,17.33,20.44,93.59,3.87
July,76,2023,15-07-2023,6.78,20.27,27.06,17.88,14.48,93.57,4.5
July,77,2023,16-07-2023,4.87,22.08,26.94,18.37,16.1,93.53,4.16
July,78,2023,17-07-2023,2.98,22.33,25.31,18.43,35.94,93.46,2.82
July,79,2023,18-07-2023,2.01,22.54,24.55,18.37,64.54,93.37,2.8
July,80,2023,19-07-2023,2.3,21.86,24.15,18.13,71.57,93.24,2.66
July,81,2023,20-07-2023,2.86,21.83,24.69,17.64,21.11,93.26,3.24
July,82,2023,21-07-2023,2.12,22.55,24.66,18.19,55.35,93.34,2.95
July,83,2023,22-07-2023,1.95,22.16,24.1,17.76,50.4,93.42,2.41
July,84,2023,23-07-2023,2.71,22.62,25.33,18.31,60.32,93.42,3.47
July,85,2023,24-07-2023,1.54,22.19,23.73,18.01,57.21,93.4,1.95
July,86,2023,25-07-2023,2.94,21.31,24.25,17.58,38.6,93.52,3.1
July,87,2023,26-07-2023,3.31,21.64,24.95,17.82,40.31,93.57,4.95
July,88,2023,27-07-2023,2.15,21.92,24.07,17.82,38.54,93.62,1.65
July,89,2023,28-07-2023,3.38,21.58,24.96,17.58,19.89,93.62,3.2
July,90,2023,29-07-2023,4.19,21.43,25.62,17.4,15.15,93.63,3.62
